,Время,Сумма
227,13.02.2019,301499.28
228,14.02.2019,330987.37
229,15.02.2019,344244.39
230,16.02.2019,384371.53
231,17.02.2019,281375.12
232,18.02.2019,310142.36
233,19.02.2019,299101.41
234,20.02.2019,307848.96
235,21.02.2019,328145.49
236,22.02.2019,408651.86
237,23.02.2019,402095.76
238,24.02.2019,262213.62
239,25.02.2019,275437.5
240,26.02.2019,280380.19
241,27.02.2019,265628.97
242,28.02.2019,300372.02
243,01.03.2019,384521.26
244,02.03.2019,365305.09
245,03.03.2019,282501.16
246,04.03.2019,298940.58
247,05.03.2019,327800.12
248,06.03.2019,379294.51
249,07.03.2019,504824.13
250,08.03.2019,472623.61
251,09.03.2019,369028.06
252,10.03.2019,275763.76
253,11.03.2019,305095.75
254,12.03.2019,306490.89
255,13.03.2019,293371.53
256,14.03.2019,323087.83
257,15.03.2019,388684.07
258,16.03.2019,365564.95
259,17.03.2019,283485.38
260,18.03.2019,322258.45
261,19.03.2019,320094.52
262,20.03.2019,290633.62
263,21.03.2019,311760.87
264,22.03.2019,360662.69
265,23.03.2019,342888.75
266,24.03.2019,281524.16
267,25.03.2019,314191.54
268,26.03.2019,308599.61
269,27.03.2019,314354.49
270,28.03.2019,321838.11
271,29.03.2019,396577.96
272,30.03.2019,381683.56
273,31.03.2019,278109.16
274,01.04.2019,303011.72
275,02.04.2019,284244.64
276,03.04.2019,301555.42
277,04.04.2019,275744.06
278,05.04.2019,398482.06
279,06.04.2019,362190.19
280,07.04.2019,301581.51
281,08.04.2019,287225.86
282,09.04.2019,314409.17
283,10.04.2019,366003.99
284,11.04.2019,356403.26
285,12.04.2019,421865.17
286,13.04.2019,395800.38
287,14.04.2019,291257.88
288,15.04.2019,320346.69
289,16.04.2019,331208.49
290,17.04.2019,299559.45
291,18.04.2019,340150.57
292,19.04.2019,412870.08
293,20.04.2019,404969.0
294,21.04.2019,342241.11
295,22.04.2019,308137.39
296,23.04.2019,325166.96
297,24.04.2019,365571.14
298,25.04.2019,391200.57
299,26.04.2019,528704.36
300,27.04.2019,508160.8
301,28.04.2019,293822.41
302,29.04.2019,337640.9
303,30.04.2019,490399.47
