DATE,value
01/05/1991,127.9323
01/06/1991,157.4896
01/07/1991,140.6807
01/08/1991,135.6808
01/09/1991,120.9914
01/10/1991,103.7686
01/11/1991,91.8820
01/12/1991,89.0019
01/01/1992,90.2244
01/02/1992,110.4098
01/03/1992,131.4666
01/04/1992,135.2148
01/05/1992,142.7928
01/06/1992,158.2887
01/07/1992,147.0626
01/08/1992,143.9345
01/09/1992,127.0568
01/10/1992,109.5147
01/11/1992,99.3276
01/12/1992,92.9703
01/01/1993,95.3665
01/02/1993,123.4377
01/03/1993,133.6159
01/04/1993,140.7597
01/05/1993,150.5615
01/06/1993,165.0825
01/07/1993,159.3991
01/08/1993,152.2206
01/09/1993,128.2921
01/10/1993,109.5646
01/11/1993,96.3109
01/12/1993,90.5080
01/01/1994,99.4781
01/02/1994,119.7060
01/03/1994,134.2504
01/04/1994,141.2588
01/05/1994,144.7913
01/06/1994,159.2280
01/07/1994,155.8514
01/08/1994,143.5421
01/09/1994,121.3149
01/10/1994,109.9283
01/11/1994,102.0735
01/12/1994,94.1296
01/01/1995,104.9496
01/02/1995,122.5914
01/03/1995,138.8764
01/04/1995,150.0524
01/05/1995,148.7095
01/06/1995,174.4632
01/07/1995,173.0159
01/08/1995,164.7302
01/09/1995,137.9415
01/10/1995,127.0089
01/11/1995,108.0761
01/12/1995,95.7693
01/01/1996,108.7666
01/02/1996,129.4163
01/03/1996,145.4127
01/04/1996,151.9554
01/05/1996,156.9814
01/06/1996,184.1093
01/07/1996,169.3725
01/08/1996,152.8792
01/09/1996,136.2178
01/10/1996,113.1833
01/11/1996,97.4190
01/12/1996,94.4327
01/01/1997,103.5788
01/02/1997,127.1437
01/03/1997,138.0852
01/04/1997,137.5455
01/05/1997,141.6972
01/06/1997,158.4195
01/07/1997,146.3529
01/08/1997,137.5518
01/09/1997,116.5002
01/10/1997,105.4953
01/11/1997,94.5096
01/12/1997,83.5459
01/01/1998,96.5701
01/02/1998,118.2285
01/03/1998,129.3521
01/04/1998,134.3474
01/05/1998,140.5265
01/06/1998,149.2407
01/07/1998,139.2554
01/08/1998,129.8794
01/09/1998,114.7175
01/10/1998,96.5840
01/11/1998,82.2537
01/12/1998,78.6816
01/01/1999,86.3952
01/02/1999,100.6297
01/03/1999,106.4133
01/04/1999,112.6711
01/05/1999,116.2802
01/06/1999,128.8553
01/07/1999,122.1347
01/08/1999,119.6529
01/09/1999,103.5391
01/10/1999,92.1367
01/11/1999,84.3381
01/12/1999,79.5262
01/01/2000,93.3510
01/02/2000,111.2944
01/03/2000,125.0698
01/04/2000,136.5341
01/05/2000,135.6032
01/06/2000,150.1199
01/07/2000,145.4325
01/08/2000,131.8293
01/09/2000,117.1805
01/10/2000,113.7341
01/11/2000,92.6327
01/12/2000,88.5149
01/01/2001,101.3750
01/02/2001,115.9745
01/03/2001,122.6815
01/04/2001,134.3882
01/05/2001,131.9872
01/06/2001,148.4196
01/07/2001,141.4769
