iter	RMSE
235	0.1326930287
236	0.1315041605
237	0.1303470485
238	0.1291604252
239	0.1280254046
240	0.1268862419
241	0.1257537157
242	0.1246386384
243	0.1235166659
244	0.1223932405
245	0.1213263111
246	0.1202282023
247	0.1191393471
248	0.1180881215
249	0.1171255663
250	0.1160582295
251	0.1150144315
252	0.1139999946
253	0.1130039218
254	0.1120092273
255	0.1109921308
256	0.1100328668
257	0.109033301
258	0.108083972
259	0.1071419141
260	0.1061832573
261	0.1052322446
262	0.1043118426
263	0.1033978979
264	0.1025054358
265	0.1015754053
266	0.100699534
267	0.09981262757
268	0.09892291571
269	0.09806029491
270	0.09719520308
271	0.09631604024
272	0.09546790556
273	0.09466282071
274	0.09384794084
275	0.09302989962
276	0.09222413978
277	0.0914429811
278	0.09064940474
279	0.08988718127
280	0.08910237988
281	0.08831266368
282	0.08754630207
283	0.08680439385
284	0.08602457508
285	0.08527969091
286	0.08455268574
287	0.08383398021
288	0.08311067439
289	0.08237058635
290	0.08164390273
291	0.08094658931
292	0.08024055633
293	0.07953201277
294	0.07885503268
295	0.07815809941
296	0.07748113627
297	0.07681692051
298	0.07615378646
299	0.07551986401
300	0.07491205047
301	0.07425870736
302	0.0736386663
303	0.07300288263
304	0.07236835565
305	0.07175175793
306	0.07112309255
307	0.0705008494
308	0.06991163116
309	0.06935487018
310	0.06874138959
311	0.06814658818
312	0.06758266833
313	0.0670090475
314	0.0664465361
315	0.06588455559
316	0.06535015557
317	0.06479327116
318	0.06423923877
319	0.06370570416
320	0.06317367562
321	0.06265077458
322	0.06211987202
323	0.06159538569
324	0.06107284412
325	0.06056073862
326	0.06004500899
327	0.05954526809
328	0.05904397616
329	0.05854684877
330	0.05806291662
331	0.05758728494
332	0.05712930553
333	0.05665475313
334	0.05618870922
335	0.05570662737
336	0.05523306046
337	0.05477603539
338	0.0543306517
339	0.05387871109
340	0.05343388409
341	0.05299704134
342	0.0525822159
343	0.05213861429
344	0.05170962802
345	0.05129443383
346	0.0508792567
347	0.05046437888
348	0.05003954146
349	0.04963558966
350	0.04921929622
351	0.04882017029
352	0.04843065703
353	0.0480418567
354	0.04764762275
355	0.0472550828
356	0.04688013814
357	0.04649553029
358	0.04612771449
359	0.04577430943
360	0.04540318034
361	0.04503375706
362	0.0446717452
363	0.04431221459
364	0.04395252481
365	0.04359946196
366	0.04325949127
367	0.04291387617
368	0.04257948635
369	0.04224801359
370	0.04191209851
371	0.04157988694
372	0.04124526824
373	0.04091994912
374	0.04059619615
375	0.04028718487
376	0.03997327655
377	0.03965943406
378	0.03936126823
379	0.03905337553
380	0.03875064187
381	0.03844330348
382	0.03814819771
383	0.03786216245
384	0.03758951658
385	0.03729621809
386	0.03701111867
387	0.03672527911
388	0.0364469927
389	0.03616668806
390	0.03588512674
391	0.03561530587
392	0.03534982933
393	0.0350852772
394	0.03482502774
395	0.03458200096
396	0.03432731533
397	0.03407571485
398	0.0338178345
399	0.03356550276
400	0.03331345637
401	0.03306850724
402	0.03283368963
403	0.03259824858
404	0.03235462274
405	0.03211346843
406	0.03188143924
407	0.03164649372
408	0.03141359922
409	0.03120023964
410	0.03097862304
411	0.03075592918
412	0.03053702987
413	0.03031936269
414	0.03009956941
415	0.02988671214
416	0.02967366451
417	0.02946177048
418	0.02925637271
419	0.0290679763
420	0.02888071141
421	0.02868496999
422	0.02848938294
423	0.02829548497
424	0.02810307946
425	0.02791592057
426	0.02772660331
427	0.02754080335
428	0.02736824142
429	0.02717993997
430	0.02699423468
431	0.02681244945
432	0.02663188353
433	0.02645497139
434	0.02627806713
435	0.02610807748
436	0.02593288778
437	0.02576125479
438	0.02560470018
439	0.02543890117
440	0.02526957282
441	0.02510345354
442	0.02494054709
443	0.02477531523
444	0.02461716841
445	0.02445972403
446	0.0243010504
447	0.02414519853
448	0.02399915799
449	0.02384984824
450	0.02371798309
451	0.02357600846
452	0.02343334323
453	0.02329265274
454	0.02314967573
455	0.02300830322
456	0.02286738837
457	0.02272661455
458	0.02258819787
459	0.02245471281
460	0.02232014636
461	0.02219009325
462	0.02206076495
463	0.02193559079
464	0.02181008496
465	0.02168045819
466	0.02156328796
467	0.02144698687
468	0.02132557627
469	0.02120692423
470	0.02109131814
471	0.0209763558
472	0.02086472484
473	0.0207468769
474	0.02063417613
475	0.02052201611
476	0.02041524442
477	0.02030792464
478	0.02019906977
479	0.02009665153
480	0.01999457446
481	0.01989125366
482	0.01978908645
483	0.01969188811
484	0.01958992766
485	0.0194916006
486	0.01939311846
487	0.01929504885
488	0.01920145215
489	0.01910532835
490	0.0190124143
491	0.01892158416
492	0.01882840407
493	0.01874072332
494	0.0186531062
495	0.018564678
496	0.01847575374
497	0.01839454725
498	0.01831178604
499	0.01823099619
500	0.01814796427
501	0.01806511456
502	0.01798243412
503	0.01790187702
504	0.01782305249
505	0.01774513377
506	0.01767365281
507	0.01759811619
508	0.01753065427
509	0.01745812352
510	0.01739360203
511	0.01731893852
512	0.01724794637
513	0.01717786415
514	0.01711386798
515	0.01704651086
516	0.01698189689
517	0.01691800932
518	0.01685060546
519	0.01678417436
520	0.01672195938
521	0.01665866372
522	0.01659451128
523	0.01653173231
524	0.01647178967
525	0.0164120587
526	0.0163550064
527	0.01629518516
528	0.01624124974
529	0.01618484939
530	0.0161270774
531	0.01607317365
532	0.01602060994
533	0.01596765219
534	0.01591437096
535	0.01586212955
536	0.0158089606
537	0.01575646345
538	0.01570627078
539	0.01565592871
540	0.0156100525
541	0.01556430353
542	0.01551670378
543	0.01547139767
544	0.01542492899
545	0.01538006161
546	0.01533844042
547	0.01529336634
548	0.01525082403
549	0.01520749327
550	0.01516446785
551	0.01512325232
552	0.01508193395
553	0.01504305744
554	0.01500501689
555	0.01496518441
556	0.01492794164
557	0.01488913621
558	0.01485106731
559	0.01481851607
560	0.01478240718
561	0.01474853025
562	0.01471306542
563	0.01467606611
564	0.01464328743
565	0.01460815249
566	0.01457420768
567	0.01454399434
568	0.01450993198
569	0.01447961548
570	0.01444692099
571	0.01441631825
572	0.01438570192
573	0.01435640485
574	0.01432891472
575	0.01430232082
576	0.0142736316
577	0.01424373068
578	0.01421683463
579	0.01418979107
580	0.0141611449
581	0.01413487724
582	0.01410695377
583	0.01407946718
584	0.01405191755
585	0.01402552565
586	0.01400132947
587	0.01397729566
588	0.01395232892
589	0.01392891352
590	0.0139034427
591	0.01387787173
592	0.01385363463
593	0.01383035514
594	0.0138080944
595	0.01378844575
596	0.01376801933
597	0.01374809409
598	0.01372788459
599	0.01370679563
600	0.01368417053
601	0.01366528758
602	0.01364446683
603	0.01362426145
604	0.01360294474
605	0.01358241055
606	0.01356348332
607	0.01354304535
608	0.01352348837
609	0.01350376492
610	0.01348503982
611	0.01346492635
612	0.01344686214
613	0.01342934273
614	0.01341250271
615	0.01339616943
616	0.01337926839
617	0.01336478763
618	0.01334836868
619	0.01333300206
620	0.01331740681
621	0.01330115399
622	0.0132855688
623	0.01327188053
624	0.01325668207
625	0.01324300005
626	0.01323058085
627	0.0132147706
628	0.01319969225
629	0.0131857876
630	0.01316980867
631	0.01315718037
632	0.01314299425
633	0.01313086217
634	0.01311754886
635	0.0131057899
636	0.01309429153
637	0.01307965933
638	0.01306651743
639	0.01305453898
640	0.01304089362
641	0.0130283183
642	0.01301615462
643	0.0130043616
644	0.01299172479
645	0.01298120268
646	0.01296850159
647	0.01295728
648	0.01294479455
649	0.01293361942
650	0.01292280251
651	0.01291208623
652	0.01290115934
653	0.01288972056
654	0.01287929175
655	0.0128693097
656	0.01285765506
657	0.01284875096
658	0.0128376203
659	0.01282844374
660	0.01281788669
661	0.01280967419
662	0.01279884449
663	0.01279034102
664	0.01277911834
665	0.01277078884
666	0.0127628479
667	0.01275556881
668	0.01274788812
669	0.01274048182
670	0.01273181566
671	0.01272206649
672	0.01271323412
673	0.01270292537
674	0.01269518699
675	0.01268636788
676	0.01267885533
677	0.01266944781
678	0.01266056816
679	0.01265305514
680	0.01264505496
681	0.01263644372
682	0.0126302572
683	0.01262108337
684	0.0126121649
685	0.01260549995
686	0.01259637968
687	0.01259002213
688	0.01258166733
689	0.01257340537
690	0.01256640057
691	0.01256106863
692	0.01255264529
693	0.01254423468
694	0.01253629654
695	0.01252980212
696	0.01252339104
697	0.01251447992
698	0.01250773338
699	0.01250217533
700	0.0124935905
701	0.01248852225
702	0.01248121914
703	0.01247390105
704	0.01246828465
705	0.01246278505
706	0.01245588718
707	0.01244786398
708	0.01244150515
709	0.01243333523
710	0.01242557874
711	0.01241854579
712	0.01241091403
713	0.01240439683
714	0.01239884479
715	0.01239138845
716	0.01238640419
717	0.01237987127
718	0.01237224143
719	0.0123644811
720	0.01235696281
721	0.01234954777
722	0.01234496325
723	0.01233816918
724	0.01233372288
725	0.01232627214
726	0.01231890184
727	0.01231292732
728	0.01230588354
729	0.0122988977
730	0.01229175777
731	0.01228475441
732	0.01228010335
733	0.01227662845
734	0.01227039691
735	0.01226450852
736	0.01226003204
737	0.01225259942
738	0.01224913415
739	0.01224278674
740	0.01223640651
741	0.01222961604
742	0.01222299378
743	0.01221825758
744	0.01221204842
745	0.01220767511
746	0.01220394078
747	0.01219945334
748	0.01219426707
749	0.01218736829
750	0.01218243421
751	0.01217737678
752	0.0121715801
753	0.01216742124
754	0.01216026224
755	0.01215445367
756	0.01214910839
757	0.01214196015
758	0.01213738023
759	0.01213356447
760	0.01212760531
761	0.01212227847
762	0.01211832826
763	0.01211208398
764	0.012105458
765	0.01210076347
766	0.01209646993
767	0.01209259125
768	0.01208640685
769	0.01208084743
770	0.01207632818
771	0.01207183321
772	0.0120670406
773	0.01206146203
774	0.01205503927
775	0.0120516668
776	0.01204595213
777	0.01204178825
778	0.01203826244
779	0.01203502842
780	0.01203044627
781	0.01202592996
782	0.01202196513
783	0.01201698542
784	0.01201145163
785	0.01200578963
786	0.01200179922
787	0.01199919306
788	0.01199576424
789	0.01198931879
790	0.01198467785
791	0.0119810673
792	0.01197774989
793	0.01197455275
794	0.011970216
795	0.0119669128
796	0.01196453979
797	0.01196187152
798	0.01195906744
799	0.0119545269
800	0.01195149719
801	0.01194503904
802	0.01193922194
803	0.01193625384
804	0.01193064638
805	0.0119272667
806	0.01192425465
807	0.01192151902
808	0.01191575595
809	0.0119112982
810	0.01190844285
811	0.01190433903
812	0.01189934476
813	0.01189657898
814	0.01189232072
815	0.0118893145
816	0.01188531126
817	0.0118801822
818	0.01187611351
819	0.01187096767
820	0.01186722128
821	0.01186217403
822	0.01185999972
823	0.01185718301
824	0.01185164963
825	0.01184675004
826	0.01184246385
827	0.01183642944
828	0.01183056596
829	0.01182394437
830	0.01182005178
831	0.01181713908
832	0.01181363037
833	0.01180863999
834	0.0118036755
835	0.01180180453
836	0.01179717153
837	0.01179434395
838	0.01179146106
839	0.01178909094
840	0.01178689161
841	0.01178319795
842	0.01177766709
843	0.01177480836
844	0.01177244688
845	0.01176911045
846	0.01176409065
847	0.01175845007
848	0.01175620077
849	0.01175181996
850	0.01174635688
851	0.01174419912
852	0.01173954738
853	0.01173571109
854	0.01172999111
855	0.01172623418
856	0.01172306014
857	0.01172059569
858	0.01171847564
859	0.01171533271
860	0.0117115572
861	0.01171015865
862	0.01170373461
863	0.01169956061
864	0.01169702473
865	0.01169482639
866	0.01168980809
867	0.01168754899
868	0.01168554324
869	0.01168318589
870	0.01167787347
871	0.01167433406
872	0.01166899518
873	0.01166466283
874	0.0116618831
875	0.01165739723
876	0.01165572667
877	0.01165127873
878	0.01164823839
879	0.01164438587
880	0.01164094214
881	0.01163780425
882	0.01163260974
883	0.01163078501
884	0.01162877591
885	0.01162362158
886	0.01162116835
887	0.0116160661
888	0.01161312705
889	0.01161078483
890	0.01160605695
891	0.01160388609
892	0.01160194838
893	0.01159794129
894	0.01159331757
895	0.01158895729
896	0.01158694817
897	0.01158509165
898	0.01158233632
899	0.01158079934
900	0.01157897618
901	0.01157278274
902	0.01157124134
903	0.01156662818
904	0.01156482706
905	0.01156114152
906	0.01155933961
907	0.01155734051
908	0.01155586386
909	0.01155352302
910	0.01155072364
911	0.01154871876
912	0.01154370707
913	0.01154151221
914	0.01153819208
915	0.01153461036
916	0.0115297379
917	0.0115247129
918	0.01152011437
919	0.01151855344
920	0.01151479246
921	0.01151183225
922	0.0115088185
923	0.01150495356
924	0.01150117636
925	0.01149840523
926	0.01149686885
927	0.01149417133
928	0.01149146507
929	0.01148719907
930	0.01148490885
931	0.01148008392
932	0.01147636499
933	0.01147362953
934	0.0114707063
935	0.01146724049
936	0.01146127118
937	0.01145680919
938	0.01145217655
939	0.01144999712
940	0.01144667708
941	0.01144476111
942	0.01144111155
943	0.01143972415
944	0.01143836933
945	0.01143557708
946	0.01143215516
947	0.01142911491
948	0.01142809084
949	0.0114242966
950	0.01142238451
951	0.01141762551
952	0.01141522546
953	0.01141147054
954	0.01140698099
955	0.0114057436
956	0.01140194054
957	0.01139728317
958	0.0113928577
959	0.01138914584
960	0.0113871343
961	0.01138351162
962	0.01137936594
963	0.0113747245
964	0.01137360464
965	0.01136938451
966	0.01136742452
967	0.01136218578
968	0.01136030369
969	0.01135845828
970	0.01135515639
971	0.01135276088
972	0.01134923653
973	0.01134742994
974	0.01134367849
975	0.01133953858
976	0.01133625328
977	0.01133466329
978	0.01133335263
979	0.01133187167
980	0.01132915331
981	0.01132759229
982	0.01132418786
983	0.0113223414
984	0.01131800672
985	0.01131523045
986	0.01131152903
987	0.01130853971
988	0.01130618765
989	0.01130438389
990	0.01130132904
991	0.01129769877
992	0.01129345622
993	0.01129088248
994	0.01128980881
995	0.01128564545
996	0.01128252841
997	0.01127844276
998	0.01127526266
999	0.01127243662
